City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
168,jeremie,18.65,-74.1167,23.73,81,10,1.79,HT,1676170683
169,hameenlinna,60.996,24.4643,-9.36,93,100,2.56,FI,1676170659
170,port elizabeth,-33.918,25.5701,22.28,88,0,2.06,ZA,1676170683
171,limanowa,49.7059,20.422,1.9,99,100,2.56,PL,1676170113
172,deputatskiy,69.3,139.9,-35.74,95,100,0.16,RU,1676170684
173,alice springs,-23.7,133.8833,36.75,14,15,7.72,AU,1676170684
174,minnedosa,50.2453,-99.8436,-5.69,93,86,4.22,CA,1676170685
175,terrace,54.5163,-128.6035,2.95,87,100,6.69,CA,1676170685
176,krasnyy chikoy,50.3643,108.7512,-12.86,80,44,1.76,RU,1676170686
177,canutama,-6.5339,-64.3831,22.87,96,100,0.74,BR,1676170686
178,mitu,1.1983,-70.1733,22.28,96,88,0.59,CO,1676170687
179,palu,-0.8917,119.8707,31.74,56,98,1.85,ID,1676170687
180,ostrovnoy,68.0531,39.5131,-7.69,95,60,6.84,RU,1676170687
181,codrington,-38.2667,141.9667,18.14,50,32,7.45,AU,1676170688
182,vilyuysk,63.7553,121.6247,-24.48,96,100,1.9,RU,1676170688
183,saint george,37.1041,-113.5841,11.33,25,0,4.12,US,1676170587
184,bayir,37.2687,28.2167,-4.71,59,0,1.16,TR,1676170689
185,eureka,40.8021,-124.1637,10.34,90,9,2.24,US,1676170690
186,saldanha,-33.0117,17.9442,17.93,97,28,4.17,ZA,1676170690
187,kitale,1.0157,35.0062,11.16,66,24,0.91,KE,1676170691
188,sobolevo,54.4299,31.8996,-5.25,85,98,8.23,RU,1676170691
189,tiksi,71.6872,128.8694,-38.92,99,61,1.02,RU,1676170691
190,morondava,-20.2833,44.2833,24.49,88,91,2.56,MG,1676170692
191,bathsheba,13.2167,-59.5167,26.34,69,40,9.26,BB,1676170692
192,ilulissat,69.2167,-51.1,-31.91,100,100,1.23,GL,1676170693
193,montrose,38.4166,-108.2673,-4.33,64,100,1.15,US,1676170693
194,kununurra,-15.7667,128.7333,28.99,74,40,2.57,AU,1676170404
195,kupang,-10.1667,123.5833,28.32,89,75,3.6,ID,1676170694
196,mwinilunga,-11.7358,24.4293,16.5,99,100,1.04,ZM,1676170694
197,ola,59.5833,151.2833,-14.7,89,100,2.0,RU,1676170695
198,svetlogorsk,52.6333,29.7333,-4.51,84,10,5.85,BY,1676170695
199,akhalgori,42.126,44.4833,-4.13,78,96,1.49,GE,1676170696
200,almeria,37.1667,-2.3333,8.21,92,100,3.18,ES,1676170696
201,cayenne,4.9333,-52.3333,24.02,94,75,1.03,GF,1676170696
202,vitina,43.2375,17.4839,-1.24,48,67,1.77,BA,1676170697
203,la suiza,9.8524,-83.6133,20.08,98,73,0.42,CR,1676170697
204,berdigestyakh,62.0989,126.6992,-24.16,96,100,1.93,RU,1676170698
205,lagoa,39.05,-27.9833,13.12,72,76,4.36,PT,1676170698
206,shekhupura,31.7131,73.9783,10.03,24,42,3.06,PK,1676170699
207,yurgamysh,55.3714,64.4656,-17.16,98,96,2.06,RU,1676170563
208,te anau,-45.4167,167.7167,23.21,38,88,0.83,NZ,1676170699
209,sangin,32.0728,64.8359,3.79,48,5,1.07,AF,1676170700
210,esperance,-33.8667,121.9,21.05,53,0,5.48,AU,1676170700
211,aklavik,68.2191,-135.0107,-34.2,98,79,1.9,CA,1676170701
212,severnyy,50.677,36.5532,-0.98,100,100,6.0,RU,1676170701
213,la rioja,42.25,-2.5,-7.12,45,0,2.64,ES,1676170702
214,victoria,22.2855,114.1577,23.03,92,78,5.36,HK,1676170689
215,atbasar,51.8,68.3333,-28.09,100,81,2.06,KZ,1676170702
216,gambo,4.6482,22.2633,19.46,38,32,1.25,CF,1676170703
217,saint-augustin,51.226,-58.6502,-19.56,81,3,5.27,CA,1676170703
218,lompoc,34.6391,-120.4579,9.96,81,75,3.09,US,1676170704
219,aksu,41.1231,80.2644,-1.81,63,74,2.01,CN,1676170704
220,vestmannaeyjar,63.4427,-20.2734,4.18,66,100,13.51,IS,1676170704
221,bundaberg,-24.85,152.35,32.9,61,0,2.24,AU,1676170705
222,cidreira,-30.1811,-50.2056,23.17,90,3,3.68,BR,1676170705
223,toamasina,-18.1667,49.3833,23.41,88,8,2.66,MG,1676170706
224,sweetwater,25.7634,-80.3731,25.01,90,20,3.6,US,1676170586
225,fortuna,40.5982,-124.1573,10.19,92,100,4.63,US,1676170533
226,aykhal,66.0,111.5,-22.3,97,99,1.88,RU,1676170706
227,tamandare,-8.7597,-35.1047,24.85,79,93,0.49,BR,1676170707
228,college,64.8569,-147.8028,-15.52,76,75,0.0,US,1676170707
229,san vicente,-26.6167,-54.1333,20.94,64,17,1.04,AR,1676170708
230,stokmarknes,68.5646,14.9108,2.99,81,100,7.2,NO,1676170577
231,suntar,62.1444,117.6319,-13.12,93,100,3.83,RU,1676170708
232,henties bay,-22.116,14.2845,18.21,86,0,0.95,NA,1676170709
233,tromso,69.6496,18.957,-0.99,93,100,9.77,NO,1676170709
234,lebu,-37.6167,-73.65,14.86,77,0,1.19,CL,1676170709
235,golden,39.7555,-105.2211,7.89,48,0,1.54,US,1676170710
236,killybegs,54.6333,-8.45,8.72,67,98,5.05,IE,1676170710
237,shangrao,28.4532,117.9686,17.39,87,85,1.89,CN,1676170711
238,tocopilla,-22.092,-70.1979,22.24,72,29,0.35,CL,1676170711
239,pitrufquen,-38.9833,-72.65,17.01,67,20,2.57,CL,1676170711
240,zabol,32.25,67.25,-2.48,58,2,3.12,AF,1676170712
241,vila franca do campo,37.7167,-25.4333,10.23,84,60,0.93,PT,1676170712
242,portree,57.4129,-6.1942,8.62,90,100,7.71,GB,1676170713
243,canico,32.6333,-16.85,16.67,82,20,3.6,PT,1676170713
244,phanat nikhom,13.4458,101.1844,32.95,100,60,3.54,TH,1676170714
245,fairbanks,64.8378,-147.7164,-13.0,78,0,0.0,US,1676170714
246,palmas,-10.2128,-48.3603,25.93,89,40,2.57,BR,1676170715
